OTUID,1000_513PS0984,1001_113PSO360,1002_533PS0955,1003_205COY395,1004_201RDW790,1005_205COY360,1007_204COY425,1008_552R5NPDC,1009_509R5NP3F,1010_552R5NPDC,1011_537R5NPFA,1012_630BUCB01,1013_630BUCB02,1014_630PS0005,1015_719NP7TWP,1016_111CBCANF,1017_518SCEBAM,1018_103WER029,1019_105PS0540,1020_526ESCAMC,1021_309SARANF,1023_522MFSCRB,1024_309SLCAAS,1025_106WE1066,1026_802SMC580,1027_526PNCAMF,1028_105CLCATC,1029_518RCNAPC,1030_305LGCACR,1031_207SUI290,1032_403WE1027,1033_512ZZMAEC,1034_628MRW138,1035_536SFT127,1036_201COY360,1038_404S03048,1038_404S03048_1,1039_404S02920_1,1039_404S02920_2,1039_404S02920_3,1040_404S05992_1,1041_404BA1128,1041_404BA1128_1,1042_404BA1144,1042_404BA1144_1,1043_403WE0540_1,1043_403WE0540_2,1086_SMC00027,1100_907NP9CMC_1,1101_911CCH80X_1,1119_LAR08641_07_09_19_1,1120_LAR01808_07_09_19_1,1122_LAR0232_07_15_19_1,1128_LAR08645_07_15_19_1,1131_LAR08647_07_16_19_1,1134_634BMCH89,1135_635PRS001,1136_634TRCASC,1137_630PS0005,1140_524PS1114,1142_514PS0275,1143_636PS0278,1149_517PSC038,1156_LAR04204,1173_SGUR0280,1177_SGLR01260,1180_SGUR01248,1183_SGUR03452,232_404M04599,233_408M03020,234_SMC00836,235_408M03027,236_403M01522,238_SMC00271,239_402M00043,240_SMC00036,241_408BA0660,242_403M03036,243_403M01528,244_403M01500,245_402M00029,246_402M00015,260_SGUR0036,261_SGLR01278,262_SGMR10600,263_405CE0280,267_SMC01544,268_412PS0020,313_801PFB019,316_801RB8312,319_801M15441,324_801SAR151,327_801WE1008_R1,328_801WE1008_R2,332_801SAR494,334_801RB8356,339_801SAROCR,342_801M15389,343_801M15406,416_402M00042,417_408M03052,418_408BA0660,419_SMC00027,420_402M00030,421_403M01539,422_408M03038,423_408M03047,424_402M00046,425_SMC00271,426_SMC00036,427_404M04517,430_405PS0011,431_SMC00254,432_SMC00206,433_801M12665,434_901M14138,435_SMC00105,436_SMC00873,437_CC_CR,438_801M12652,439_REF_FC,467_905PS0026,469_911M24945,472_906M21738,476_904WE1125,480_907M23362,482_909WE0662,486_910M24924,487_905M21756,490_906M21758,493_911M24934,605_403WE0683,606_403WE0535,607_403WE0534,608_403WE0905,609_404BA1144,610_404S03048,611_404S05992,612_404S16516,613_404BA1128,614_404S08040,615_403WE0682,616_403WE0560,633_204AMO140,635_204ALP075,636_204AMO180,641_202PIL550_1,642_202SGR150,645_202SGR125_1,646_202SGR022_1,647_202PIL200_1,648_202SER110_1,649_202SGR040_1,654_202PES150_1,702_403M01626,704_403M01565,705_403M01565,722_LAR00440_0_2_um,724_LAR0232_0_2_um,726_LAR08640_0_2_um,728_LAR08642_0_2_um,732_LAR0552_unfiltered,734_901NP9TNC_1,734_901NP9TNC_eDNA,734_901NP9TNC_MB,735_903CVPCT_1,735_903CVPCT_eDNA,735_903CVPCT_LB,735_903CVPCT_MB,736_907NP9CMC_eDNA,736_907NP9CMC_MB,737_911CCH80X_eDNA,737_911CCH80X_LB,737_911CCH80X_MB,738_911NP9LPC_1,738_911NP9LPC_eDNA,738_911NP9LPC_MB,739_903ACPCT1_1,739_903ACPCT1_eDNA,739_903ACPCT1_LB,739_903ACPCT1_MB,740_903ACPCT2_1,740_903ACPCT2_eDNA,740_903ACPCT2_MB,741_903NP9UAC,741_903NP9UAC_1,741_903NP9UAC_MB,742_907SDCHC3_1,742_907SDCHC3_2,742_907SDCHC3_eDNA,744_907SDBOC2_1,744_907SDBOC2_eDNA,744_907SDBOC2_LB,745_907TCB_1,747_LB_RA,748_LB_RA,754_LC_R5,756_LC_R4,763_POM_RD,767_POM_RC,770_WN_RD1,773_SJC_C1_Alt,779_SA_RB,782_WN_RD,785_105PS0540,787_312MZCDBC,788_403WE1027,789_405BRCASG,791_526ESCAMC,796_309SLCAAS,798_111GCABPC,800_636SAG001,801_201PNG050,802_305UVCASC,804_526PS0072,805_402SNPMCR,806_801S01671,808_111BVCMFE,811_525NC0647,812_536WS0743,813_534WS0748,814_534WS1004,862_911NP9HTC,865_911NP9EPC,869_902NP9CWC,873_903ACPCT1,877_907SDBOC2,881_901BELOLV,885_905SDGCC1x,889_901SMCWHC,893_910DFWHBC,897_911R9LMC1,901_911R9LMC1_DUP,905_911PVCAEC,909_903R9PPCD,940_204AMO140,993_603FCA145,994_509FCA054,995_518FCA075,996_628PS2127,997_518PS0222,998_113PS0356,999_113PS0356,EB_2_14_21,EB_7_26_21,EB_8_2_2021,EB_9_1_20,EB_9_9_21,ntc,zymodna,zymodna_logphase,ConsensusLineage
00a89b174717c708aa357adc19283aa0,40,3764,0,0,0,0,0,0,1975,0,0,0,0,0,0,31204,0,0,86,0,114,0,239,496,0,0,0,0,1799,0,0,1577,0,25280,0,0,0,0,0,0,0,0,0,1613,1997,0,0,746,634,45354,7251,2667,0,0,1037,0,0,40,0,0,0,505,0,0,0,0,0,0,0,0,0,0,0,368,44,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,1921,0,0,0,0,0,0,387,0,0,6823,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,66,0,0,0,0,0,2031,169,7217,583,33102,1809,0,0,2333,2532,13252,1817,11685,1008,2103,974,11852,1241,0,0,0,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,187,0,0,2322,88,0,0,2560,295,0,0,21800,911,0,7718,8155,26109,0,1750,0,5985,3374,0,1143,7063,10007,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia turgida
df446c1d96aafecbaa4b2215b36ec96b,0,0,0,41,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2559,2313,3040,0,0,0,0,0,0,0,0,0,8910,5918,0,0,0,0,0,0,0,0,0,17,0,0,0,0,29,0,4813,12661,9690,0,0,0,8967,5641,7,0,0,190,0,633,446,0,0,10,1472,9758,0,11192,0,0,10620,1679,1163,0,0,0,6371,389,0,0,0,15,22,0,0,80,0,134,798,14997,2044,56,0,16,0,0,0,0,0,33280,23828,0,0,0,26,2766,0,0,698,1291,0,0,22,1653,36810,1956,62,0,0,0,7224,0,83,0,0,0,0,0,0,0,0,2003,1224,0,10707,0,31493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,5116,6032,3986,0,0,2363,0,2197,45,752,4058,505,1747,52,76,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Coscinodiscophyceae; Triceratiales; Triceratiaceae; Pleurosira; Pleurosira laevis
113da450f7d170c15c22d0b096efbd9f,156,158,259,364,0,21,635,439,187,138,0,0,12,0,0,0,0,18,23,0,0,287,0,49,0,0,0,15,0,0,0,0,97,21,39,2250,4266,47,6,23,1752,831,985,270,354,0,0,0,23191,420,71,10,56,0,43,19,28,116,0,2889,0,24,0,328,0,0,0,0,109,0,0,1389,33,0,17,26,0,0,0,0,189,277,307,21,0,0,786,10,16225,287,125,125,804,751,91,1009,9986,0,0,25,0,127,0,22,0,563,0,1059,14,92,502,0,31,276,521,1449,959,31,141,0,0,126,1813,29,0,105,21694,713,1107,20,9,234,59,98,479,290,772,632,11,58,0,0,12,16,266,0,2503,0,0,0,206,0,0,0,8,218,41,0,0,0,7,3598,0,0,0,0,0,0,0,2547,2378,173,0,25,223,0,92,121,48,0,0,14,26,0,0,0,0,115,139,265,83,71,0,1191,0,0,0,0,0,47,70,0,0,155,4058,0,0,6,14,33,0,2143,0,132,265,0,0,0,7458,0,2862,7024,446,1405,0,928,432,34,0,0,19520,133,773,414,821,26,0,74,783,6,161,46,28,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Coscinodiscophyceae; Melosirales; Melosiraceae; Melosira; Melosira varians
b04c05d72c304b1416b732bbddaa363e,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,57,0,0,0,0,567,40,66,0,0,0,0,0,0,0,0,0,669,0,0,0,0,0,0,0,0,0,0,17,0,138,0,0,8,29217,7768,915,79,0,0,4745,2011,0,13,0,54,700,18,2654,251,19,29,52,173,225,0,10,0,0,23,118,242,0,55,0,182,347,0,0,0,6304,2892,0,0,4866,175,5506,1463,81,981,45,0,41,0,1265,0,18,0,20,118,0,0,0,0,337,0,0,246,0,0,0,98,1478,535,594,351,0,0,152,82,11,0,0,2,0,22,0,4,0,18,0,0,0,1832,15,262,29,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13852,6999,158,6982,5967,95,3745,6064,3263,16860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,118,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Fragilariophyceae; Fragilariales; Fragilariaceae; Staurosira; Staurosira construens
9cbdf4c01342d5752298c3619e754cdc,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869,0,0,0,0,1366,950,2248,2223,2140,3529,6276,4903,0,0,0,0,0,120,15,0,0,87,0,30,0,0,0,0,698,0,0,0,24,0,355,0,0,0,0,116,48,22,0,200,122,0,32,929,0,257,233,94,132,2275,0,377,167,598,0,0,66,0,0,91,0,200,0,0,0,1287,415,40,15,0,339,249,5,0,2371,0,0,46,71,396,83,30,1091,8710,58,10266,5662,0,40,225,0,5,77,5811,514,0,0,374,61,210,0,80,22,49,616,10,0,0,0,1013,0,0,0,0,0,0,0,11,0,0,240,214,273,0,27,0,4451,0,0,0,0,0,0,0,755,111,63,0,12,161,166,203,0,0,0,0,0,0,0,0,0,0,111,66,3730,0,0,0,5189,340,160,11369,66,22,114,0,40,0,0,0,0,23,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,200,0,20,0,0,0,158,279,366,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Coscinodiscophyceae; Thalassiosirales; Stephanodiscaeae; Cyclotella; Cyclotella meneghiniana
f15228efea61437ffa3970ce6c69cfe1,0,5223,0,0,0,0,17,0,0,0,0,0,0,0,0,25,0,49,0,0,502,0,520,0,0,0,0,93,192,0,0,4089,0,71,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,22210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,381,0,724,0,319,0,0,0,0,996,0,454,4172,2452,871,2473,6093,13070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5986,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,104,0,2835,0,0,0,0,774,0,8280,0,5912,0,44,349,3290,2973,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia sorex
26729f4b1e5d01d93d6020662d995531,0,0,223,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,354,1949,0,0,20430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238,0,717,0,0,0,0,0,103,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,24980,0,0,0,23,31,0,0,0,4714,10023,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,11204,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,206,0,0,0,2545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Rhopalodiales; Rhopalodiaceae; Epithemia; Epithemia sorex
52376e50ae5edaeb87b86ceb34bab064,0,0,0,0,845,0,11,0,0,190,0,0,0,0,0,0,7720,428,32,0,0,0,0,736,0,153,91,1066,0,0,241,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,21,0,0,0,0,0,0,0,0,0,0,132,0,400,0,0,464,3107,828,0,0,0,0,64,0,0,0,0,0,0,0,51,0,0,0,0,185,0,0,0,61,0,1244,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,0,1797,300,0,0,0,464,0,0,0,0,0,177,0,498,177,0,351,0,0,0,0,0,0,0,0,0,18153,0,0,0,0,577,850,152,0,1135,514,365,323,177,88,112,0,0,0,0,1191,0,0,0,943,1150,3918,2238,57,108,65,0,0,4605,4602,1721,69,55,0,0,0,0,0,24,17,121,1633,1346,979,0,0,0,835,0,0,0,0,0,0,0,0,0,0,41,0,228,0,0,0,0,33,2813,547,0,0,2170,74,181,0,0,0,3703,0,0,0,0,1636,0,0,0,0,0,0,1624,0,0,0,171,274,141,0,4,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Achnanthales; Achnanthidiaceae; Planothidium; Planothidium lanceolatum group1
2a4b9be45ff979268ed523ce47a0de41,0,0,0,0,0,0,0,11,0,36,0,0,2314,2822,0,0,0,0,7493,1408,0,0,0,0,14684,23239,0,2059,0,0,0,0,0,180,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19820,136,2167,1870,0,0,190,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2141,0,36,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
e4049299ffd32a71fda329c6494c4051,0,0,88,2920,0,5865,989,1377,20,1211,296,0,0,0,0,0,0,44,0,0,614,1625,130,94,0,0,0,0,1991,151,0,0,0,0,699,0,0,0,0,0,100,42,52,289,249,0,0,0,0,50,0,0,50,428,67,0,0,0,0,0,0,0,0,13717,0,0,2555,1538,2450,0,175,180,42,8728,990,33,0,0,0,0,0,452,5560,21,0,0,386,0,0,7,0,0,61,0,21,0,0,0,0,27,0,0,0,28,2299,0,0,107,777,40,0,19,282,124,160,0,840,29,0,99,0,0,0,77,66,183,63,7,16,3538,0,494,0,116,125,364,0,0,44,738,0,0,25,98,56,177,258,263,1489,481,136,134,113,40,510,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,11,1111,46,349,0,0,0,0,0,0,0,0,0,25,832,576,130,0,0,0,2050,51,30,0,0,36,80,0,0,0,0,0,49,0,304,0,92,0,0,0,198,0,0,66,0,0,0,0,0,5,0,0,0,45,0,0,0,0,0,0,40,365,127,0,0,0,45,51,0,0,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Thalassiophysales; Catenulaceae; Amphora; Amphora pediculus
