,Primer,Taxonomic Level,Reference Status,Num Subsampled,Total Nodes,Total Edges,Positive Edges,Negative Edges,Pos/Neg,Pos/Total,Neg/Total,Avg Path Length,Modularity,Avg Degree,Heterogeneity,Clustering Coefficient
1,asv16S,Family,physeq_Reference,All Samples,19,42,37,5,7.4,0.880952381,0.119047619,1.673684211,0.3648524,4.421052632,0.568872273,0.546511628
2,asv16S,Family,physeq_Reference,50,21,39,37,2,18.5,0.948717949,0.051282051,1.46031746,0.469992813,3.714285714,0.485824685,0.709359606
3,asv16S,Family,physeq_Reference,50,11,17,17,0,Inf,1,0,1.690909091,0.02559454,3.090909091,0.638550857,0.445945946
4,asv16S,Family,physeq_Reference,50,11,14,14,0,Inf,1,0,1.391304348,0.309952334,2.545454545,0.725956784,0.631578947
5,asv16S,Family,physeq_Reference,50,9,7,7,0,Inf,1,0,1.681818182,0.354962112,1.555555556,0.361641685,0
6,asv16S,Family,physeq_Reference,50,14,24,22,2,11,0.916666667,0.083333333,1.586206897,0.088934455,3.428571429,0.747617456,0.555555556
7,asv16S,Family,physeq_Reference,50,18,29,27,2,13.5,0.931034483,0.068965517,1.442307692,0.35706327,3.222222222,0.588830461,0.6
8,asv16S,Family,physeq_Reference,50,14,25,24,1,24,0.96,0.04,1.468085106,0.323827211,3.571428571,0.541976466,0.568965517
9,asv16S,Family,physeq_Reference,50,17,24,22,2,11,0.916666667,0.083333333,1.351351351,0.486877896,2.823529412,0.480876608,0.683544304
10,asv16S,Family,physeq_Reference,50,20,32,29,3,9.666666667,0.90625,0.09375,1.630136986,0.439040276,3.2,0.557457898,0.653061224
11,asv16S,Family,physeq_Reference,50,14,21,20,1,20,0.952380952,0.047619048,1.475,0.273910252,3,0.68595486,0.584415584
12,asv16S,Family,physeq_Reference,50,21,41,37,4,9.25,0.902439024,0.097560976,1.349206349,0.419734785,3.904761905,0.537735672,0.763157895
13,asv16S,Family,physeq_Reference,50,18,31,29,2,14.5,0.935483871,0.064516129,1.403846154,0.543545173,3.444444444,0.586738694,0.644444444
14,asv16S,Family,physeq_Reference,50,18,37,35,2,17.5,0.945945946,0.054054054,1.383333333,0.237588329,4.111111111,0.642421138,0.72815534
15,asv16S,Family,physeq_Reference,50,11,22,22,0,Inf,1,0,1.405405405,0.060461707,4,0.720318199,0.704081633
16,asv16S,Family,physeq_Reference,50,19,44,40,4,10,0.909090909,0.090909091,1.821138211,0.207693521,4.631578947,0.711787445,0.615107914
17,asv16S,Family,physeq_Reference,50,18,35,34,1,34,0.971428571,0.028571429,1.492753623,0.366377193,3.888888889,0.693647995,0.692307692
18,asv16S,Family,physeq_Reference,50,20,46,43,3,14.33333333,0.934782609,0.065217391,1.819672131,0.13655854,4.6,0.692549452,0.62745098
19,asv16S,Family,physeq_Reference,50,9,14,14,0,Inf,1,0,1.611111111,-2.29E-16,3.111111111,0.635945406,0.327272727
20,asv16S,Family,physeq_Reference,50,15,21,20,1,20,0.952380952,0.047619048,2.01754386,0.533200593,2.8,0.522585233,0.666666667
21,asv16S,Family,physeq_Reference,50,16,29,26,3,8.666666667,0.896551724,0.103448276,1.740740741,0.138893332,3.625,0.631415075,0.534246575
22,asv16S,Family,physeq_Reference,50,19,27,23,4,5.75,0.851851852,0.148148148,1.307692308,0.515967044,2.842105263,0.51658704,0.757894737
